raw_degree,normalized_degree,level
M.Tech,Master of Technology,Masters
PhD,Doctor of Philosophy,Doctorate
PhD,Doctor of Philosophy,Doctorate
B.Tech,Bachelor of Technology,Bachelors
M.Tech,Master of Technology,Masters
B.Tech,Bachelor of Technology,Bachelors
MS,Master of Science,Masters
M.Tech,Master of Technology,Masters
MS,Master of Science,Masters
B.Tech,Bachelor of Technology,Bachelors
B.Tech,Bachelor of Technology,Bachelors
PhD,Doctor of Philosophy,Doctorate
B.E,Bachelor of Engineering,Bachelors
B.Tech,Bachelor of Technology,Bachelors
M.Tech,Master of Technology,Masters
PhD,Doctor of Philosophy,Doctorate
B.Tech,Bachelor of Technology,Bachelors
B.Tech,Bachelor of Technology,Bachelors
MBA,Master of Business Administration,Masters
M.Tech,Master of Technology,Masters
M.Tech,Master of Technology,Masters
PhD,Doctor of Philosophy,Doctorate
MS,Master of Science,Masters
PhD,Doctor of Philosophy,Doctorate
MBA,Master of Business Administration,Masters
B.Tech,Bachelor of Technology,Bachelors
MBA,Master of Business Administration,Masters
MBA,Master of Business Administration,Masters
B.Tech,Bachelor of Technology,Bachelors
B.Tech,Bachelor of Technology,Bachelors
M.Tech,Master of Technology,Masters
B.Tech,Bachelor of Technology,Bachelors
PhD,Doctor of Philosophy,Doctorate
PhD,Doctor of Philosophy,Doctorate
B.Tech,Bachelor of Technology,Bachelors
MBA,Master of Business Administration,Masters
B.Tech,Bachelor of Technology,Bachelors
M.Tech,Master of Technology,Masters
M.Tech,Master of Technology,Masters
M.Tech,Master of Technology,Masters
MS,Master of Science,Masters
MBA,Master of Business Administration,Masters
M.Tech,Master of Technology,Masters
PhD,Doctor of Philosophy,Doctorate
M.Tech,Master of Technology,Masters
B.E,Bachelor of Engineering,Bachelors
B.Tech,Bachelor of Technology,Bachelors
PhD,Doctor of Philosophy,Doctorate
MS,Master of Science,Masters
MBA,Master of Business Administration,Masters
MS,Master of Science,Masters
MBA,Master of Business Administration,Masters
B.Tech,Bachelor of Technology,Bachelors
M.Tech,Master of Technology,Masters
PhD,Doctor of Philosophy,Doctorate
B.Tech,Bachelor of Technology,Bachelors
B.Tech,Bachelor of Technology,Bachelors
B.Tech,Bachelor of Technology,Bachelors
PhD,Doctor of Philosophy,Doctorate
PhD,Doctor of Philosophy,Doctorate
B.E,Bachelor of Engineering,Bachelors
MBA,Master of Business Administration,Masters
B.Tech,Bachelor of Technology,Bachelors
PhD,Doctor of Philosophy,Doctorate
MBA,Master of Business Administration,Masters
MBA,Master of Business Administration,Masters
B.E,Bachelor of Engineering,Bachelors
B.E,Bachelor of Engineering,Bachelors
MBA,Master of Business Administration,Masters
M.Tech,Master of Technology,Masters
B.Tech,Bachelor of Technology,Bachelors
B.E,Bachelor of Engineering,Bachelors
B.E,Bachelor of Engineering,Bachelors
B.Tech,Bachelor of Technology,Bachelors
MS,Master of Science,Masters
MS,Master of Science,Masters
B.Tech,Bachelor of Technology,Bachelors
PhD,Doctor of Philosophy,Doctorate
M.Tech,Master of Technology,Masters
MS,Master of Science,Masters
B.E,Bachelor of Engineering,Bachelors
MS,Master of Science,Masters
B.Tech,Bachelor of Technology,Bachelors
B.E,Bachelor of Engineering,Bachelors
B.Tech,Bachelor of Technology,Bachelors
B.Tech,Bachelor of Technology,Bachelors
PhD,Doctor of Philosophy,Doctorate
MS,Master of Science,Masters
B.Tech,Bachelor of Technology,Bachelors
PhD,Doctor of Philosophy,Doctorate
MBA,Master of Business Administration,Masters
B.E,Bachelor of Engineering,Bachelors
PhD,Doctor of Philosophy,Doctorate
M.Tech,Master of Technology,Masters
MS,Master of Science,Masters
M.Tech,Master of Technology,Masters
PhD,Doctor of Philosophy,Doctorate
M.Tech,Master of Technology,Masters
MS,Master of Science,Masters
M.Tech,Master of Technology,Masters
B.E,Bachelor of Engineering,Bachelors
PhD,Doctor of Philosophy,Doctorate
M.Tech,Master of Technology,Masters
B.E,Bachelor of Engineering,Bachelors
MS,Master of Science,Masters
MS,Master of Science,Masters
MBA,Master of Business Administration,Masters
B.Tech,Bachelor of Technology,Bachelors
MS,Master of Science,Masters
B.E,Bachelor of Engineering,Bachelors
B.Tech,Bachelor of Technology,Bachelors
M.Tech,Master of Technology,Masters
M.Tech,Master of Technology,Masters
PhD,Doctor of Philosophy,Doctorate
B.E,Bachelor of Engineering,Bachelors
B.Tech,Bachelor of Technology,Bachelors
M.Tech,Master of Technology,Masters
MBA,Master of Business Administration,Masters
MBA,Master of Business Administration,Masters
MS,Master of Science,Masters
MS,Master of Science,Masters
B.E,Bachelor of Engineering,Bachelors
MBA,Master of Business Administration,Masters
M.Tech,Master of Technology,Masters
B.E,Bachelor of Engineering,Bachelors
MS,Master of Science,Masters
MBA,Master of Business Administration,Masters
MS,Master of Science,Masters
B.Tech,Bachelor of Technology,Bachelors
PhD,Doctor of Philosophy,Doctorate
MBA,Master of Business Administration,Masters
PhD,Doctor of Philosophy,Doctorate
MBA,Master of Business Administration,Masters
MBA,Master of Business Administration,Masters
B.Tech,Bachelor of Technology,Bachelors
M.Tech,Master of Technology,Masters
B.Tech,Bachelor of Technology,Bachelors
MBA,Master of Business Administration,Masters
B.E,Bachelor of Engineering,Bachelors
MBA,Master of Business Administration,Masters
MS,Master of Science,Masters
B.E,Bachelor of Engineering,Bachelors
MS,Master of Science,Masters
M.Tech,Master of Technology,Masters
MS,Master of Science,Masters
MBA,Master of Business Administration,Masters
PhD,Doctor of Philosophy,Doctorate
B.E,Bachelor of Engineering,Bachelors
B.E,Bachelor of Engineering,Bachelors
MS,Master of Science,Masters
MS,Master of Science,Masters
MS,Master of Science,Masters
B.E,Bachelor of Engineering,Bachelors
B.Tech,Bachelor of Technology,Bachelors
M.Tech,Master of Technology,Masters
B.E,Bachelor of Engineering,Bachelors
B.E,Bachelor of Engineering,Bachelors
B.E,Bachelor of Engineering,Bachelors
B.Tech,Bachelor of Technology,Bachelors
MS,Master of Science,Masters
M.Tech,Master of Technology,Masters
B.E,Bachelor of Engineering,Bachelors
MS,Master of Science,Masters
B.Tech,Bachelor of Technology,Bachelors
B.Tech,Bachelor of Technology,Bachelors
B.Tech,Bachelor of Technology,Bachelors
MS,Master of Science,Masters
MS,Master of Science,Masters
MBA,Master of Business Administration,Masters
MS,Master of Science,Masters
M.Tech,Master of Technology,Masters
M.Tech,Master of Technology,Masters
B.Tech,Bachelor of Technology,Bachelors
MS,Master of Science,Masters
MBA,Master of Business Administration,Masters
PhD,Doctor of Philosophy,Doctorate
M.Tech,Master of Technology,Masters
B.E,Bachelor of Engineering,Bachelors
MS,Master of Science,Masters
MBA,Master of Business Administration,Masters
PhD,Doctor of Philosophy,Doctorate
MBA,Master of Business Administration,Masters
MS,Master of Science,Masters
M.Tech,Master of Technology,Masters
PhD,Doctor of Philosophy,Doctorate
B.E,Bachelor of Engineering,Bachelors
MS,Master of Science,Masters
PhD,Doctor of Philosophy,Doctorate
B.E,Bachelor of Engineering,Bachelors
PhD,Doctor of Philosophy,Doctorate
M.Tech,Master of Technology,Masters
MS,Master of Science,Masters
B.E,Bachelor of Engineering,Bachelors
M.Tech,Master of Technology,Masters
B.Tech,Bachelor of Technology,Bachelors
PhD,Doctor of Philosophy,Doctorate
PhD,Doctor of Philosophy,Doctorate
B.E,Bachelor of Engineering,Bachelors
B.Tech,Bachelor of Technology,Bachelors
M.Tech,Master of Technology,Masters
B.E,Bachelor of Engineering,Bachelors
B.Tech,Bachelor of Technology,Bachelors
B.E,Bachelor of Engineering,Bachelors
PhD,Doctor of Philosophy,Doctorate
PhD,Doctor of Philosophy,Doctorate
B.Tech,Bachelor of Technology,Bachelors
B.E,Bachelor of Engineering,Bachelors
B.Tech,Bachelor of Technology,Bachelors
B.Tech,Bachelor of Technology,Bachelors
PhD,Doctor of Philosophy,Doctorate
PhD,Doctor of Philosophy,Doctorate
B.E,Bachelor of Engineering,Bachelors
MBA,Master of Business Administration,Masters
PhD,Doctor of Philosophy,Doctorate
B.E,Bachelor of Engineering,Bachelors
M.Tech,Master of Technology,Masters
M.Tech,Master of Technology,Masters
B.E,Bachelor of Engineering,Bachelors
MS,Master of Science,Masters
MBA,Master of Business Administration,Masters
B.E,Bachelor of Engineering,Bachelors
B.E,Bachelor of Engineering,Bachelors
M.Tech,Master of Technology,Masters
MBA,Master of Business Administration,Masters
PhD,Doctor of Philosophy,Doctorate
M.Tech,Master of Technology,Masters
B.Tech,Bachelor of Technology,Bachelors
M.Tech,Master of Technology,Masters
M.Tech,Master of Technology,Masters
MS,Master of Science,Masters
MS,Master of Science,Masters
B.Tech,Bachelor of Technology,Bachelors
MS,Master of Science,Masters
B.E,Bachelor of Engineering,Bachelors
B.Tech,Bachelor of Technology,Bachelors
MBA,Master of Business Administration,Masters
MS,Master of Science,Masters
B.E,Bachelor of Engineering,Bachelors
MBA,Master of Business Administration,Masters
M.Tech,Master of Technology,Masters
MBA,Master of Business Administration,Masters
MS,Master of Science,Masters
M.Tech,Master of Technology,Masters
M.Tech,Master of Technology,Masters
M.Tech,Master of Technology,Masters
PhD,Doctor of Philosophy,Doctorate
PhD,Doctor of Philosophy,Doctorate
PhD,Doctor of Philosophy,Doctorate
