raw_title,normalized_title,category
SWE,Software Engineer,General
Backend Eng,Backend Engineer,Backend
Fullstack Dev,Full Stack Developer,Fullstack
QA Eng,QA Engineer,Testing
Sr Java Dev,Senior Java Developer,Backend
QA Eng,QA Engineer,Testing
QA Eng,QA Engineer,Testing
Fullstack Dev,Full Stack Developer,Fullstack
Fullstack Dev,Full Stack Developer,Fullstack
QA Eng,QA Engineer,Testing
QA Eng,QA Engineer,Testing
Sr Java Dev,Senior Java Developer,Backend
Sr Java Dev,Senior Java Developer,Backend
Sr Java Dev,Senior Java Developer,Backend
Backend Eng,Backend Engineer,Backend
SWE,Software Engineer,General
SWE,Software Engineer,General
Sr Java Dev,Senior Java Developer,Backend
SWE,Software Engineer,General
Backend Eng,Backend Engineer,Backend
Sr Java Dev,Senior Java Developer,Backend
Fullstack Dev,Full Stack Developer,Fullstack
SWE,Software Engineer,General
SWE,Software Engineer,General
QA Eng,QA Engineer,Testing
QA Eng,QA Engineer,Testing
SWE,Software Engineer,General
Sr Java Dev,Senior Java Developer,Backend
Sr Java Dev,Senior Java Developer,Backend
Sr Java Dev,Senior Java Developer,Backend
Backend Eng,Backend Engineer,Backend
Sr Java Dev,Senior Java Developer,Backend
QA Eng,QA Engineer,Testing
Fullstack Dev,Full Stack Developer,Fullstack
SWE,Software Engineer,General
Backend Eng,Backend Engineer,Backend
QA Eng,QA Engineer,Testing
Fullstack Dev,Full Stack Developer,Fullstack
Sr Java Dev,Senior Java Developer,Backend
Backend Eng,Backend Engineer,Backend
QA Eng,QA Engineer,Testing
Fullstack Dev,Full Stack Developer,Fullstack
SWE,Software Engineer,General
QA Eng,QA Engineer,Testing
Sr Java Dev,Senior Java Developer,Backend
Fullstack Dev,Full Stack Developer,Fullstack
SWE,Software Engineer,General
Fullstack Dev,Full Stack Developer,Fullstack
Fullstack Dev,Full Stack Developer,Fullstack
SWE,Software Engineer,General
Backend Eng,Backend Engineer,Backend
Backend Eng,Backend Engineer,Backend
Fullstack Dev,Full Stack Developer,Fullstack
SWE,Software Engineer,General
QA Eng,QA Engineer,Testing
Sr Java Dev,Senior Java Developer,Backend
Sr Java Dev,Senior Java Developer,Backend
SWE,Software Engineer,General
SWE,Software Engineer,General
Fullstack Dev,Full Stack Developer,Fullstack
QA Eng,QA Engineer,Testing
Fullstack Dev,Full Stack Developer,Fullstack
SWE,Software Engineer,General
SWE,Software Engineer,General
Fullstack Dev,Full Stack Developer,Fullstack
Sr Java Dev,Senior Java Developer,Backend
Fullstack Dev,Full Stack Developer,Fullstack
SWE,Software Engineer,General
SWE,Software Engineer,General
Fullstack Dev,Full Stack Developer,Fullstack
QA Eng,QA Engineer,Testing
Sr Java Dev,Senior Java Developer,Backend
QA Eng,QA Engineer,Testing
Fullstack Dev,Full Stack Developer,Fullstack
Backend Eng,Backend Engineer,Backend
Sr Java Dev,Senior Java Developer,Backend
QA Eng,QA Engineer,Testing
Sr Java Dev,Senior Java Developer,Backend
QA Eng,QA Engineer,Testing
Backend Eng,Backend Engineer,Backend
SWE,Software Engineer,General
Backend Eng,Backend Engineer,Backend
Sr Java Dev,Senior Java Developer,Backend
QA Eng,QA Engineer,Testing
SWE,Software Engineer,General
Fullstack Dev,Full Stack Developer,Fullstack
Sr Java Dev,Senior Java Developer,Backend
Backend Eng,Backend Engineer,Backend
Backend Eng,Backend Engineer,Backend
Fullstack Dev,Full Stack Developer,Fullstack
SWE,Software Engineer,General
Backend Eng,Backend Engineer,Backend
Backend Eng,Backend Engineer,Backend
QA Eng,QA Engineer,Testing
Backend Eng,Backend Engineer,Backend
Sr Java Dev,Senior Java Developer,Backend
Sr Java Dev,Senior Java Developer,Backend
Fullstack Dev,Full Stack Developer,Fullstack
SWE,Software Engineer,General
QA Eng,QA Engineer,Testing
Fullstack Dev,Full Stack Developer,Fullstack
Fullstack Dev,Full Stack Developer,Fullstack
Sr Java Dev,Senior Java Developer,Backend
Sr Java Dev,Senior Java Developer,Backend
Fullstack Dev,Full Stack Developer,Fullstack
SWE,Software Engineer,General
Fullstack Dev,Full Stack Developer,Fullstack
SWE,Software Engineer,General
Sr Java Dev,Senior Java Developer,Backend
Backend Eng,Backend Engineer,Backend
QA Eng,QA Engineer,Testing
Fullstack Dev,Full Stack Developer,Fullstack
Backend Eng,Backend Engineer,Backend
Sr Java Dev,Senior Java Developer,Backend
Backend Eng,Backend Engineer,Backend
Backend Eng,Backend Engineer,Backend
SWE,Software Engineer,General
QA Eng,QA Engineer,Testing
QA Eng,QA Engineer,Testing
SWE,Software Engineer,General
SWE,Software Engineer,General
Backend Eng,Backend Engineer,Backend
QA Eng,QA Engineer,Testing
Fullstack Dev,Full Stack Developer,Fullstack
Sr Java Dev,Senior Java Developer,Backend
QA Eng,QA Engineer,Testing
SWE,Software Engineer,General
Sr Java Dev,Senior Java Developer,Backend
Backend Eng,Backend Engineer,Backend
Fullstack Dev,Full Stack Developer,Fullstack
Sr Java Dev,Senior Java Developer,Backend
Fullstack Dev,Full Stack Developer,Fullstack
QA Eng,QA Engineer,Testing
Fullstack Dev,Full Stack Developer,Fullstack
SWE,Software Engineer,General
Fullstack Dev,Full Stack Developer,Fullstack
Sr Java Dev,Senior Java Developer,Backend
Backend Eng,Backend Engineer,Backend
Sr Java Dev,Senior Java Developer,Backend
Fullstack Dev,Full Stack Developer,Fullstack
SWE,Software Engineer,General
Fullstack Dev,Full Stack Developer,Fullstack
Fullstack Dev,Full Stack Developer,Fullstack
QA Eng,QA Engineer,Testing
QA Eng,QA Engineer,Testing
QA Eng,QA Engineer,Testing
SWE,Software Engineer,General
Fullstack Dev,Full Stack Developer,Fullstack
Backend Eng,Backend Engineer,Backend
SWE,Software Engineer,General
Fullstack Dev,Full Stack Developer,Fullstack
Fullstack Dev,Full Stack Developer,Fullstack
QA Eng,QA Engineer,Testing
Sr Java Dev,Senior Java Developer,Backend
Sr Java Dev,Senior Java Developer,Backend
Sr Java Dev,Senior Java Developer,Backend
Fullstack Dev,Full Stack Developer,Fullstack
QA Eng,QA Engineer,Testing
SWE,Software Engineer,General
QA Eng,QA Engineer,Testing
Sr Java Dev,Senior Java Developer,Backend
Sr Java Dev,Senior Java Developer,Backend
SWE,Software Engineer,General
Backend Eng,Backend Engineer,Backend
Backend Eng,Backend Engineer,Backend
Backend Eng,Backend Engineer,Backend
Fullstack Dev,Full Stack Developer,Fullstack
SWE,Software Engineer,General
Sr Java Dev,Senior Java Developer,Backend
Fullstack Dev,Full Stack Developer,Fullstack
Fullstack Dev,Full Stack Developer,Fullstack
SWE,Software Engineer,General
Sr Java Dev,Senior Java Developer,Backend
Sr Java Dev,Senior Java Developer,Backend
Sr Java Dev,Senior Java Developer,Backend
Backend Eng,Backend Engineer,Backend
SWE,Software Engineer,General
Fullstack Dev,Full Stack Developer,Fullstack
Fullstack Dev,Full Stack Developer,Fullstack
Fullstack Dev,Full Stack Developer,Fullstack
Fullstack Dev,Full Stack Developer,Fullstack
SWE,Software Engineer,General
Fullstack Dev,Full Stack Developer,Fullstack
QA Eng,QA Engineer,Testing
QA Eng,QA Engineer,Testing
SWE,Software Engineer,General
Backend Eng,Backend Engineer,Backend
Backend Eng,Backend Engineer,Backend
QA Eng,QA Engineer,Testing
SWE,Software Engineer,General
SWE,Software Engineer,General
Sr Java Dev,Senior Java Developer,Backend
Sr Java Dev,Senior Java Developer,Backend
QA Eng,QA Engineer,Testing
Backend Eng,Backend Engineer,Backend
Sr Java Dev,Senior Java Developer,Backend
Fullstack Dev,Full Stack Developer,Fullstack
SWE,Software Engineer,General
Backend Eng,Backend Engineer,Backend
QA Eng,QA Engineer,Testing
SWE,Software Engineer,General
Sr Java Dev,Senior Java Developer,Backend
Sr Java Dev,Senior Java Developer,Backend
Fullstack Dev,Full Stack Developer,Fullstack
Fullstack Dev,Full Stack Developer,Fullstack
Fullstack Dev,Full Stack Developer,Fullstack
QA Eng,QA Engineer,Testing
Backend Eng,Backend Engineer,Backend
Sr Java Dev,Senior Java Developer,Backend
Sr Java Dev,Senior Java Developer,Backend
SWE,Software Engineer,General
Fullstack Dev,Full Stack Developer,Fullstack
QA Eng,QA Engineer,Testing
Sr Java Dev,Senior Java Developer,Backend
QA Eng,QA Engineer,Testing
Sr Java Dev,Senior Java Developer,Backend
Fullstack Dev,Full Stack Developer,Fullstack
QA Eng,QA Engineer,Testing
SWE,Software Engineer,General
Fullstack Dev,Full Stack Developer,Fullstack
SWE,Software Engineer,General
Fullstack Dev,Full Stack Developer,Fullstack
Sr Java Dev,Senior Java Developer,Backend
Fullstack Dev,Full Stack Developer,Fullstack
QA Eng,QA Engineer,Testing
Fullstack Dev,Full Stack Developer,Fullstack
Fullstack Dev,Full Stack Developer,Fullstack
Sr Java Dev,Senior Java Developer,Backend
Fullstack Dev,Full Stack Developer,Fullstack
Backend Eng,Backend Engineer,Backend
Fullstack Dev,Full Stack Developer,Fullstack
QA Eng,QA Engineer,Testing
Backend Eng,Backend Engineer,Backend
SWE,Software Engineer,General
Backend Eng,Backend Engineer,Backend
QA Eng,QA Engineer,Testing
Sr Java Dev,Senior Java Developer,Backend
Backend Eng,Backend Engineer,Backend
Backend Eng,Backend Engineer,Backend
SWE,Software Engineer,General
SWE,Software Engineer,General
QA Eng,QA Engineer,Testing
SWE,Software Engineer,General
SWE,Software Engineer,General
SWE,Software Engineer,General
Sr Java Dev,Senior Java Developer,Backend
QA Eng,QA Engineer,Testing
QA Eng,QA Engineer,Testing
Sr Java Dev,Senior Java Developer,Backend
SWE,Software Engineer,General
SWE,Software Engineer,General
Fullstack Dev,Full Stack Developer,Fullstack
QA Eng,QA Engineer,Testing
QA Eng,QA Engineer,Testing
SWE,Software Engineer,General
Backend Eng,Backend Engineer,Backend
Backend Eng,Backend Engineer,Backend
Sr Java Dev,Senior Java Developer,Backend
Fullstack Dev,Full Stack Developer,Fullstack
Sr Java Dev,Senior Java Developer,Backend
Sr Java Dev,Senior Java Developer,Backend
QA Eng,QA Engineer,Testing
Fullstack Dev,Full Stack Developer,Fullstack
Sr Java Dev,Senior Java Developer,Backend
QA Eng,QA Engineer,Testing
